UMTS,262,3,1139,75811,,12.937847,52.72718,0,1,1,1283359860,1283359860,-96
GSM,262,2,769,10513,,12.937847,52.72718,0,1,1,1283359860,1283359860,-98
UMTS,262,3,1139,300659,,12.937847,52.72718,0,1,1,1283359860,1283359860,-106
UMTS,262,3,1139,75827,,12.937847,52.72718,0,1,1,1283359860,1283359860,-106
UMTS,262,3,1809,79441,,12.5893,53.009567,0,1,1,1283362081,1283362081,-78
UMTS,262,3,1825,223617,,12.5893,53.009567,0,1,1,1283362081,1283362081,-92
GSM,262,2,769,38672,,12.5893,53.009567,0,1,1,1283362081,1283362081,-95
UMTS,262,3,1809,152193,,12.5893,53.009567,0,1,1,1283362081,1283362081,-105
UMTS,262,2,769,95058,,12.5893,53.009567,0,1,1,1283362081,1283362081,-105
UMTS,262,3,1809,152177,,12.5893,53.009567,0,1,1,1283362081,1283362081,-105
UMTS,262,3,1809,79457,,12.5893,53.009567,0,1,1,1283362081,1283362081,-108
UMTS,262,3,1809,229937,,12.073797,53.285287,0,1,1,1283364121,1283364121,-99
GSM,262,2,903,24865,,12.073797,53.285287,0,1,1,1283364121,1283364121,-104
UMTS,262,3,769,92481,,11.731993,53.367828,0,1,1,1283365051,1283365051,-62
UMTS,262,2,903,161618,,11.731993,53.367828,0,1,1,1283365051,1283365051,-77
UMTS,262,3,769,92465,,11.731993,53.367828,0,1,1,1283365051,1283365051,-80
UMTS,262,3,769,87841,,11.731993,53.367828,0,1,1,1283365051,1283365051,-97
UMTS,262,2,903,219203,,11.731993,53.367828,0,1,1,1283365051,1283365051,-99
UMTS,262,3,769,145665,,11.731993,53.367828,0,1,1,1283365051,1283365051,-100
UMTS,262,3,769,92449,,11.731993,53.367828,0,1,1,1283365051,1283365051,-102
UMTS,262,2,903,161617,,11.731993,53.367828,0,1,1,1283365051,1283365051,-103
UMTS,262,3,593,99905,,11.731993,53.367828,0,1,1,1283365051,1283365051,-105
UMTS,262,2,903,337729,,11.731993,53.367828,0,1,1,1283365051,1283365051,-106
UMTS,262,3,769,296209,,11.731993,53.367828,0,1,1,1283365051,1283365051,-106
UMTS,262,2,1033,86594,,10.340775,53.797812,0,1,1,1283369102,1283369102,-101
